game_id,home_team,away_team,home_score,away_score,true_percentage
2018_09_CHI_BUF,BUF,CHI,9,41,22
2018_09_DET_MIN,MIN,DET,24,9,38
2018_09_GB_NE,NE,GB,31,17,55
2018_09_HOU_DEN,DEN,HOU,17,19,89
2018_09_KC_CLE,CLE,KC,21,37,57
2018_09_LA_NO,NO,LA,45,35,78
2018_09_LAC_SEA,SEA,LAC,17,25,68
2018_09_NYJ_MIA,MIA,NYJ,13,6,46
2018_09_OAK_SF,SF,OAK,34,3,9
2018_09_PIT_BAL,BAL,PIT,16,23,70
2018_09_TB_CAR,CAR,TB,42,28,67
2018_09_TEN_DAL,DAL,TEN,14,28,50
2018_10_ARI_KC,KC,ARI,26,14,54
2018_10_ATL_CLE,CLE,ATL,28,16,57
2018_10_BUF_NYJ,NYJ,BUF,10,41,24
2018_10_CAR_PIT,PIT,CAR,52,21,40
2018_10_DAL_PHI,PHI,DAL,20,27,74
2018_10_DET_CHI,CHI,DET,34,22,65
2018_10_JAX_IND,IND,JAX,29,26,90
2018_10_LAC_OAK,OAK,LAC,6,20,30
2018_10_MIA_GB,GB,MIA,31,12,39
2018_10_NE_TEN,TEN,NE,34,10,29
2018_10_NO_CIN,CIN,NO,14,51,27
2018_10_NYG_SF,SF,NYG,23,27,85
2018_10_SEA_LA,LA,SEA,36,31,86
2018_10_WAS_TB,TB,WAS,3,16,19
2018_11_CAR_DET,DET,CAR,20,19,95
2018_11_CIN_BAL,BAL,CIN,24,21,88
2018_11_DAL_ATL,ATL,DAL,19,22,86
2018_11_DEN_LAC,LAC,DEN,22,23,96
2018_11_GB_SEA,SEA,GB,27,24,89
2018_11_HOU_WAS,WAS,HOU,21,23,91
2018_11_KC_LA,LA,KC,54,51,94
2018_11_MIN_CHI,CHI,MIN,25,20,80
2018_11_OAK_ARI,ARI,OAK,21,23,91
2018_11_PHI_NO,NO,PHI,48,7,15
2018_11_PIT_JAX,JAX,PIT,16,20,80
2018_11_TB_NYG,NYG,TB,38,35,92
2018_11_TEN_IND,IND,TEN,38,10,26
2018_12_ARI_LAC,LAC,ARI,45,10,22
2018_12_ATL_NO,NO,ATL,31,17,55
2018_12_CHI_DET,DET,CHI,16,23,70
